,full_name,team,position,height,weight,age,region,average_points,average_assists,average_rebounds,average_steals,average_blocks,awards
0,Precious Achiuwa,Knicks,Forward,203.2,243,25,Nigeria,6.351851851851852,0.9259259259259259,5.407407407407407,0.7592592592592593,0.7037037037037037,
1,Steven Adams,Rockets,Center,210.82,265,31,New Zealand,3.9107142857142856,1.1428571428571428,5.589285714285714,0.39285714285714285,0.4642857142857143,All-Rookie Team
2,Bam Adebayo,Heat,Center-Forward,205.74,255,27,USA,17.84,4.333333333333333,9.586666666666666,1.24,0.6933333333333334,All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA Player of the Week; NBA Player of the Week; Olympic Gold Medal; Olympic Gold Medal
3,Ochai Agbaji,Raptors,Guard,195.57999999999998,215,24,USA,10.065573770491802,1.5573770491803278,3.7868852459016393,0.8032786885245902,0.47540983606557374,
4,Santi Aldama,Grizzlies,Forward-Center,213.36,215,24,Spain,12.754098360655737,2.8688524590163933,6.573770491803279,0.7868852459016393,0.47540983606557374,
5,Trey Alexander,Nuggets,Guard,193.04,185,21,USA,1.3043478260869565,0.4782608695652174,0.4782608695652174,0.043478260869565216,0.043478260869565216,
6,Nickeil Alexander-Walker,Timberwolves,Guard,195.57999999999998,205,26,Canada,9.519480519480519,2.6493506493506493,3.220779220779221,0.6103896103896104,0.4155844155844156,
7,Grayson Allen,Suns,Guard,193.04,198,29,USA,10.40677966101695,2.0847457627118646,2.9661016949152543,0.847457627118644,0.3220338983050847,
8,Jarrett Allen,Cavaliers,Center,205.74,243,26,USA,13.766233766233766,1.9090909090909092,9.883116883116884,0.948051948051948,0.922077922077922,NBA All-Star; NBA Player of the Week
9,Jose Alvarado,Pelicans,Guard,182.88,179,26,USA,10.09433962264151,4.735849056603773,2.4339622641509435,1.320754716981132,0.24528301886792453,
10,Kyle Anderson,Heat,Forward-Guard,205.74,230,31,USA,5.25,2.25,3.0555555555555554,0.7222222222222222,0.5555555555555556,
11,Giannis Antetokounmpo,Bucks,Forward,210.82,243,30,Greece,30.428571428571427,6.238095238095238,11.873015873015873,0.8888888888888888,1.1587301587301588,All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-Defensive Team; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-NBA; All-Rookie Team; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA All-Star; NBA Champion; NBA Defensive Player of the Year; NBA Finals Most Valuable Player; NBA In-Season Tournament All-Tournament; NBA Most Improved Player; NBA Most Valuable Player; NBA Most Valuable Player; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Month; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week; NBA Player of the Week
12,Cole Anthony,Magic,Guard,187.96,185,24,USA,9.555555555555555,2.8412698412698414,3.0476190476190474,0.6984126984126984,0.4603174603174603,
13,OG Anunoby,Knicks,Forward-Guard,200.66,240,27,United Kingdom,17.91549295774648,2.1971830985915495,4.788732394366197,1.4929577464788732,0.8873239436619719,All-Defensive Team; NBA Champion
14,Taran Armstrong,Warriors,Guard,195.57999999999998,190,23,Australia,,,,,,
15,Deni Avdija,Trail Blazers,Forward,205.74,240,24,Israel,16.930555555555557,3.9027777777777777,7.25,0.9861111111111112,0.4861111111111111,
16,Deandre Ayton,Trail Blazers,Center,213.36,252,26,Bahamas,14.4,1.6,10.15,0.775,0.975,All-Rookie Team; NBA Player of the Week
17,Marcus Bagley,,Forward,198.12,217,23,USA,4.2,0.2,5.2,0.4,1.2,
18,Marvin Bagley III,Grizzlies,Forward,208.28,235,26,USA,4.894736842105263,0.3684210526315789,2.9473684210526314,0.3684210526315789,0.2631578947368421,All-Rookie Team
19,Patrick Baldwin Jr.,Clippers,Forward,205.74,220,22,USA,2.1363636363636362,0.09090909090909091,1.0,0.13636363636363635,0.09090909090909091,
20,LaMelo Ball,Hornets,Guard,200.66,180,23,USA,25.19148936170213,7.361702127659575,4.9361702127659575,1.148936170212766,0.2765957446808511,All-Rookie Team; NBA All-Star; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Month; NBA Rookie of the Year
21,Lonzo Ball,Bulls,Guard,198.12,190,27,USA,7.628571428571429,3.2857142857142856,3.3714285714285714,1.3428571428571427,0.4857142857142857,All-Rookie Team
22,Mo Bamba,,Center,213.36,231,26,USA,4.571428571428571,0.5714285714285714,4.285714285714286,0.32142857142857145,1.0,
